epoch,train_acc,train_loss,test_acc,test_loss,,,,,,,,
,,,,,,,,,,,,
1,0.947643977,0.192506201,0.885416667,0.242584626,,,,,,,,
,,,,,,,,,,,,
2,0.960732982,0.12331962,0.90625,0.19610174,,,,,,,,
,,,,,,,,,,,,
3,0.981675393,0.074145809,0.927083333,0.176221674,,,,,,,,
,,,,,,CNN-RNN,,,,,,
4,0.989528796,0.043238184,0.9375,0.142022836,,,,,,,,
,,,,,,,,,,,,
5,0.992146597,0.028573174,0.96875,0.139662688,,,,,,,,
,,,,,,,,,,,,
6,1,0.019032857,0.96875,0.120431876,,,,,,,,
,,,,,,,,,,,,
7,1,0.013560731,0.96875,0.114713506,,,,,,,,
,,,,,,,,,,,,
8,0.997382199,0.020484509,0.84375,0.311584602,,,,,,,,
,,,,,,,,,,,,
9,0.992146597,0.064798478,0.916666667,0.214442303,,,,,,,,
,,,,,,,,,,,,
0,0.7486911,0.657824862,0.833333333,0.401149213,,,,,,,,
,,,,,,,,,,,,
1,0.921465969,0.229645197,0.875,0.32900694,,,,,,,,
,,,,,,,,,,,,
2,0.918848168,0.194316039,0.875,0.312916378,,,,,,,,
,,,,,,,,,,,,
3,0.934554974,0.161377083,0.895833333,0.263850138,,,,,,,,
,,,,,,,,,,,,
4,0.973821987,0.137851691,0.90625,0.256951953,,,,,,,,
,,,,,,CNN RNN BACKWARD,,,,,,
5,0.98167539,0.107328139,0.90625,0.222278327,,,,,,,,
,,,,,,,,,,,,
6,0.979057589,0.08617414,0.90625,0.237748978,,,,,,,,
,,,,,,,,,,,,
7,0.986910995,0.068226867,0.916666667,0.1991505,,,,,,,,
,,,,,,,,,,,,
8,0.989528796,0.05467527,0.916666667,0.196212381,,,,,,,,
,,,,,,,,,,,,
9,0.989528794,0.0477774,0.916666667,0.196591094,,,,,,,,
,,,,,,,,,,,,
0,0.814136126,0.441603164,0.916666667,0.275979112,,,,,,,,
,,,,,,,,,,,,
1,0.960732984,0.160975844,0.9375,0.160764371,,,,,,,,
,,,,,,,,,,,,
2,0.984293194,0.051711418,0.90625,0.193487223,,,,,,,,
,,,,,,,,,,,,
3,0.989528796,0.020366457,0.90625,0.245255128,,,,,,,,
,,,,,,,,,,,,
4,0.989528794,0.015219277,0.90625,0.347521325,,,,,,,,
,,,,,,CNN-LSTM FORGET TRUE,,,,,,
5,0.989528796,0.013052101,0.90625,0.381051501,,,,,,,,
,,,,,,,,,,,,
6,0.989528796,0.011746514,0.90625,0.389672389,,,,,,,,
,,,,,,,,,,,,
7,0.989528796,0.010916563,0.90625,0.35626485,,,,,,,,
,,,,,,,,,,,,
