,TRAIN_ACC,TRAIN_LOSS,TEST_ACC,TEST_LOSS,,,,,,,,,,,,
4,0.913612566,0.400557983,0.895833333,0.425918996,,,,,,,,7,0.986910993,0.027123473,0.927083333,0.172333524
,,,,,,,,,,,,9,0.989528796,0.012429664,0.9375,0.126805194
5,0.929319372,0.386201059,0.895833333,0.420579871,,,,,,,,5,0.986910995,0.03323036,0.916666667,0.204003848
,,,,,,,,,,,,6,0.971204188,0.139616988,0.927083333,0.206358478
6,0.934554974,0.352976878,0.885416667,0.38535744,,,,,,,,2,0.965968586,0.144655807,0.9375,0.181108649
,,,,,,,,,,,,3,1,0.027056048,0.947916667,0.221602807
7,0.95549738,0.199585738,0.90625,0.234920467,,,,,,,,9,1,0.004276981,0.947916667,0.128026051
,,,,,,,,,,,,9,0.984293194,0.043618109,0.927083333,0.154550596
8,0.971204188,0.082516576,0.90625,0.22839677,,,,,,,,6,0.989528796,0.009970386,0.9375,0.117960956
,,,,,,,,,,,,9,0.963350785,0.095681762,0.90625,0.264709612
9,0.984293194,0.043618109,0.927083333,0.154550596,,,,,,,,9,0.989528794,0.008086989,0.947916667,0.087501983
,,,,,,,,,,,,8,0.976439791,0.053303615,0.90625,0.230512567
0,0.675392671,0.578713458,0.78125,0.455228229,,,,,,,,9,1,0.008226943,0.979166667,0.091061856
,,,,,,,,,,,,6,0.992146597,0.008201529,0.96875,0.114800767
1,0.952879581,0.199865049,0.916666667,0.162895449,,,,,,,,9,0.989528796,0.029646737,0.8125,0.308174451
,,,,,,,,,,,,1,0.672774868,0.599089568,0.614583333,0.665780981
2,0.979057589,0.058264878,0.916666667,0.148905922,,,,,,,,7,0.989528796,0.029899732,0.864583333,0.303135718
,,,,,,,,,,,,2,0.876963351,0.512263595,0.854166667,0.519398908
3,0.986910993,0.022709228,0.916666667,0.160471434,,,,,,,,3,0.861256543,0.499725293,0.822916667,0.532186687
,,,,,,,,,,,,9,0.876963351,0.426947801,0.885416667,0.418420255
4,0.989528796,0.014092496,0.927083333,0.104059316,,,,,,,,6,0.989528796,0.024185296,0.916666667,0.171042909
,,,,,,,,,,,,7,0.965968586,0.080100115,0.875,0.205332095
5,0.989528796,0.01109132,0.927083333,0.112155779,,,,,,,,9,0.986910995,0.049195225,0.885416667,0.234186014
,,,,,,,,,,,,9,0.900523558,0.405564596,0.885416667,0.435422202
6,0.989528796,0.009970386,0.9375,0.117960956,,,,,,,,8,0.989528794,0.013918876,0.916666667,0.162657206
,,,,,,,,,,,,4,0.947643977,0.218314788,0.885416667,0.270359789
7,0.989528796,0.009123947,0.9375,0.119244809,,,,,,,,9,0.981675393,0.057207869,0.875,0.233483662
,,,,,,,,,,,,2,0.806282723,0.536442502,0.791666667,0.557869275
8,0.989528796,0.008703367,0.927083333,0.125373004,,,,,,,,9,0.989528796,0.012260388,0.875,0.216987704
,,,,,,,,,,,,3,0.981675393,0.037933842,0.90625,0.184954862
9,0.989528794,0.008414138,0.9375,0.123802705,,,,,,,,9,0.971204189,0.066118992,0.854166667,0.375606646
,,,,,,,,,,,,8,0.984293194,0.080550359,0.885416667,0.259747634
0,0.87434555,0.511136669,0.84375,0.474731555,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.803664922,0.436545602,0.739583333,0.450656712,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.895287957,0.418966136,0.84375,0.439068456,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,0.908376961,0.407851945,0.84375,0.435905168,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,0.913612564,0.394370293,0.895833333,0.425964246,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,0.926701569,0.377321451,0.895833333,0.421592196,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,0.931937171,0.351224234,0.895833333,0.411930184,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,0.947643979,0.235133198,0.885416667,0.249353553,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,0.965968587,0.097404027,0.875,0.299135891,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,0.963350785,0.095681762,0.90625,0.264709612,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,0.740837697,0.552520341,0.864583333,0.382067124,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.971204189,0.142909476,0.916666667,0.124756011,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.984293194,0.034649851,0.927083333,0.166948542,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,0.986910993,0.019495564,0.927083333,0.109321347,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,0.989528794,0.013904409,0.9375,0.09688501,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,0.989528796,0.011032061,0.9375,0.089839804,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,0.989528796,0.008802077,0.9375,0.085858456,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,0.989528796,0.008501449,0.9375,0.085660485,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,0.989528796,0.008259133,0.9375,0.086009717,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,0.989528794,0.008086989,0.947916667,0.087501983,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,0.787958113,0.511779049,0.895833333,0.481093278,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.85340314,0.442989903,0.6875,0.471209755,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.848167537,0.42672885,0.802083333,0.442759842,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,0.897905759,0.414085294,0.822916667,0.438579539,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,0.913612564,0.397095739,0.895833333,0.42022412,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,0.918848168,0.353117695,0.895833333,0.36297522,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,0.95026178,0.198767693,0.791666667,0.562151621,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,0.95026178,0.131414118,0.90625,0.25881324,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,0.976439791,0.053303615,0.90625,0.230512567,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,0.981675391,0.024579518,0.90625,0.236519053,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,0.82460733,0.422192921,0.770833333,0.37688144,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.952879579,0.143996429,0.895833333,0.18702811,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.984293194,0.043117397,0.927083333,0.131132205,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,0.989528796,0.019405444,0.916666667,0.155632508,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,0.989528796,0.013055998,0.9375,0.101739323,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,0.989528796,0.010808932,0.9375,0.096129872,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,0.989528796,0.009409706,0.947916667,0.094821318,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,0.989528796,0.008751831,0.9375,0.095397205,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,0.989528796,0.00842561,0.979166667,0.09265257,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,1,0.008226943,0.979166667,0.091061856,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,0.816753927,0.430087842,0.885416667,0.219541033,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.955497383,0.102998527,0.90625,0.183181627,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.981675393,0.03810186,0.9375,0.122860343,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,0.984293194,0.019888663,0.9375,0.119459748,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,0.989528796,0.010382723,0.947916667,0.127525809,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,0.989528794,0.00902361,0.9375,0.114334463,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,0.992146597,0.008201529,0.96875,0.114800767,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,1,0.007813083,0.96875,0.116136231,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,1,0.007594519,0.96875,0.117300852,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,1,0.007314402,0.96875,0.118344522,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,0.55235602,0.988257836,0.625,0.660236279,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.871727747,0.322527928,0.791666667,0.404237539,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.947643979,0.181167424,0.802083333,0.370971829,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,0.984293194,0.104456569,0.802083333,0.38094609,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,0.986910995,0.070987135,0.8125,0.335558037,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,0.989528796,0.048830944,0.8125,0.326689666,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,0.986910995,0.043741067,0.8125,0.324225436,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,0.989528796,0.033983988,0.8125,0.317160438,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,0.989528796,0.031425521,0.8125,0.314024126,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,0.989528796,0.029646737,0.8125,0.308174451,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,0.515706806,0.706620706,0.510416667,0.69748493,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.672774868,0.599089568,0.614583333,0.665780981,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.785340315,0.499895668,0.53125,0.714289129,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,0.77225131,0.484154638,0.604166667,0.678842405,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,0.832460732,0.395984697,0.572916667,0.771535834,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,0.706806281,0.55672542,0.59375,0.624868095,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,0.772251309,0.47479547,0.552083333,0.739205122,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,0.7460733,0.494217005,0.572916667,0.661372523,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,0.811518325,0.430761455,0.520833333,0.724250078,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,0.842931938,0.387527762,0.520833333,0.843741496,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,0.683246074,0.61257132,0.729166667,0.555559665,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.835078534,0.332458761,0.75,0.510861397,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.908376961,0.224154735,0.739583333,0.469049702,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,0.950261778,0.14094494,0.78125,0.3964128,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,0.973821988,0.077770248,0.833333333,0.337955227,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,0.984293194,0.052387027,0.84375,0.32619367,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,0.986910995,0.036765286,0.854166667,0.325002193,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,0.989528796,0.029899732,0.864583333,0.303135718,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,0.989528796,0.022186656,0.864583333,0.308565249,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,0.989528796,0.016788786,0.854166667,0.314279407,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,0.570680628,0.739307461,0.583333333,0.647291621,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.649214658,0.612252464,0.802083333,0.573913117,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.876963351,0.512263595,0.854166667,0.519398908,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,0.926701572,0.422446311,0.822916667,0.503078461,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,0.884816752,0.358781253,0.8125,0.473785202,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,0.92408377,0.287885014,0.802083333,0.46318239,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,0.926701571,0.247675669,0.78125,0.539537261,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,0.950261778,0.191269521,0.822916667,0.491806765,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,0.963350785,0.169426315,0.802083333,0.557467967,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,0.963350785,0.160931343,0.78125,0.565678895,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
